"page","line","text"
7,4,"SELECT COMMITTEE TO INVESTIGATE THE"
7,5,"JANUARY 6TH ATTACK ON THE U.S. CAPITOL,"
7,6,"U.S. HOUSE OF REPRESENTATIVES,"
7,7,"WASHINGTON, D.C."
7,11,"INTERVIEW OF: [x"
7,15,"Thursday, June 2, 2022"
7,17,"Washington, D.C."
7,20,"The interview in the above matter was held in Room 5480, O'Neill House Office"
7,21,"Building, commencing at 10:02 a.m."
7,22,"Present: Representatives Thompson, Aguilar, Schiff, Lofgren, and Cheney."
7,?,"SUBJECT TO PROTECTIVE ORDER SCO-00764172"
8,1,"In any event, I called and I said, look, you know, what the hell is going on"
8,2,"here? And he said, the trouble is that all these people on the outside, not just J"
8,3,"but others too, are filling the President's ear with all this stuff about fraud, and they're"
8,4,"being very authoritative, and they know how to push the President's buttons, and they're"
8,5,"telling him what he wants to hear, and he seems inclined to believe it or go along with it."
8,6,"And, you know, that -- that is my conversation with Ji”"
8,7,"Ms. Cheney. Thank you very much. I appreciate it."
8,8,"And I'd also like to say hello to {NN who graduated ahead of me at the"
8,9,"University of Chicago."
8,10,"Mr. hm Ahead academically or ahead chronologically?"
8,11,"Ms. Cheney. Academically, not chronologically."
8,12,"Thank you."
8,13,"Mr. SJ I want to turn, Ms. Lofgren, to you. I know you wanted to ask"
8,14,"some questions about that November 23rd and perhaps some other meetings. So let"
8,15,"me give you a chance now to jump in and ask those questions."
8,16,"Ms. Lofgren. Thank you so much."
8,17,"And thanks, Mr. {i for your recounting of these events."
8,18,"Just a quick followup on the November 23rd meeting. You mentioned that the"
8,19,"fraud allegations were not correct. Did you go through the specifics with the President"
8,20,"in the various States at that meeting?"
8,21,"Mr. Hi I don't think I attempted to go through all of them. The one!"
8,22,"specifically remember addressing was -- were the Dominion machines."
8,23,"Ms. Lofgren. Okay."
8,24,"Mr. J And! made the point that it was crazy for them to be wasting their"
8,25,"time on this, because they can be easily checked, because they're tabulation machines,"
8,?,"SUBJECT TO PROTECTIVE ORDER SCO-00764192"
9,1,"and all you have to do is compare the ballots with the tabulation, and I just thought it was"
9,2,"crazy."
9,3,"And I may have raised other ones with him, but I don't -- I can't really say that I"
9,4,"remember doing that. But I think I probably alluded to some of the other ones."
9,5,"Ms. Lofgren. Okay."
9,6,"In your book, you talk about a December 1st meeting with the President. Can"
9,7,"you tell us about that meeting, who was there and what you said and what others said?"
9,8,"Mr. MB Right."
9,9,"So, I mean, part of the context of that meeting was, after the November 23rd"
9,10,"meeting, I took -- I had talked to some Members on the Hill, Senators and -- more than"
9,11,"one Member, and a lot of people were asking, what do you make of -- you know, what's"
9,12,"going on? Is there going to be a transition? What do you make of these fraud claims?"
9,13,"And one of those calls -- I talked a couple of times, at least, with Senator"
9,14,". (J) and other Senators too. But J expressed concern about where"
9,15,"things were headed, and he said, you know, when I look around, it seems to me that"
9,16,"you're the best person to inject some reality into this situation; I hope you consider"
9,17,"speaking up. And I said that I was planning to do that but I wanted to make sure both as"
9,18,"to the timing and also I wanted to pin down a few more facts."
9,19,"I felt that, number one, if the President after the 23rd was going to become more"
9,20,"realistic, that would affect the timing of when I said something. But, also, I wanted to"
9,21,"make sure that, you know, I didn't say something about that I didn't see any evidence of"
9,22,"fraud and then have something dropped on me that was fairly significant. So I wanted"
9,23,"to do some more due diligence."
9,24,"So, with that as background, you know, I felt that things continued to deteriorate"
9,25,"between the 23rd and the weekend of the 29th. The President started meeting with"
9,?,"SUBJECT TO PROTECTIVE ORDER SCO-00764193"
